,FINAL,PRE-CLEARIN,G PRICES AS,OF 02/18,/16 06:00,PM (CST),,,,,
4420,----,299.00B,259.50A,296.75A,294.5,29,,265.5,,,
4430,----,307.25B,267.00A,305.25A,302.75,29.75,,273,,,
4440,----,315.50B,274.50A,313.50A,311.25,30.5,,280.75,,,
4450,----,324.00B,282.50A,322.00A,319.75,31.25,,288.5,,,
4460,----,332.50B,290.50A,330.50A,328.25,31.75,,296.5,,,
4470,----,341.25B,298.50A,339.25A,336.75,32.25,,304.5,,,
4480,----,350.00B,306.50A,348.25A,345.5,32.75,,312.75,,,
4490,----,358.75B,315.00A,357.00A,354.5,33.5,,321,,,
4500,----,367.75B,323.25A,366.00A,363.5,34,,329.5,,,
4510,----,376.75B,331.75A,375.25A,372.5,34.5,,338,,,
4520,----,386.00B,340.50A,384.50A,381.5,35,,346.5,,,
4530,----,395.25B,349.25A,393.75A,390.75,35.5,,355.25,,,
4540,----,404.50B,358.00A,403.00A,400,36,,364,,,
4550,----,414.00B,367.00A,412.50A,409.25,36.25,,373,,,
4560,----,423.25B,376.00A,422.00A,418.75,36.75,,382,,,
4570,----,432.75B,385.25A,431.50A,428.25,37.25,,391,,,
4580,----,442.50B,394.25A,441.00A,437.75,37.75,,400,,,
4590,----,----,----,----,447.25,UNCH,,----,,,
4600,----,----,----,----,456.75,UNCH,,----,,,
4610,----,----,----,----,466.5,UNCH,,----,,,
4620,----,----,----,----,476,UNCH,,----,,,
4630,----,----,----,----,485.75,UNCH,,----,,,
4640,----,----,----,----,495.5,UNCH,,----,,,
4650,----,----,----,----,505.25,UNCH,,----,,,
4660,----,----,----,----,515,UNCH,,----,,,
4670,----,----,----,----,524.75,UNCH,,----,,,
4680,----,----,----,----,534.75,UNCH,,----,,,
4690,----,----,----,----,544.5,UNCH,,----,,,
TOTAL,,,,,,,EST.VOL,,VOLUME,OPEN,INT
TOTAL,,,,,,,339,,127,,1504
QNE FEB,16 NASDA,Q MONTHLY E,#NAME?,NS CALL,,,,,,,
2580,----,1620.75B,1569.25A,1570.25B,1574.75,-41.75,,1616.5,,,
2590,----,1610.75B,1559.25A,1560.25B,1564.75,-41.75,,1606.5,,,
2600,----,1600.75B,1549.25A,1550.25B,1554.75,-41.75,,1596.5,,,
2610,----,1590.75B,1539.25A,1540.25B,1544.75,-41.75,,1586.5,,,
2620,----,1580.75B,1529.25A,1530.25B,1534.75,-41.75,,1576.5,,,
2630,----,1570.75B,1519.25A,1520.25B,1524.75,-41.75,,1566.5,,,3
2640,----,1560.75B,1509.25A,1510.50B,1514.75,-41.75,,1556.5,,,3
2650,----,1550.75B,1499.25A,1500.50B,1504.75,-41.75,,1546.5,,,
2660,----,1540.75B,1489.25A,1490.50B,1494.75,-41.75,,1536.5,,,
2670,----,1530.75B,1479.25A,1480.50B,1484.75,-41.75,,1526.5,,,2
2680,----,1520.75B,1469.25A,1470.50B,1474.75,-41.75,,1516.5,,,
2690,----,1510.75B,1459.25A,1460.50B,1464.75,-41.75,,1506.5,,,
2700,----,1500.75B,1449.25A,1450.50B,1454.75,-41.75,,1496.5,,,1
2710,----,1490.75B,1439.25A,1440.50B,1444.75,-41.75,,1486.5,,,
2720,----,1480.75B,1429.25A,1430.50B,1434.75,-41.75,,1476.5,,,
2730,----,1470.75B,1419.25A,1420.50B,1424.75,-41.75,,1466.5,,,
2740,----,1460.75B,1409.25A,1410.50B,1414.75,-41.75,,1456.5,,,
2750,----,1450.75B,1399.25A,1400.50B,1404.75,-41.75,,1446.5,,,
2760,----,1440.75B,1389.25A,1390.50B,1394.75,-41.75,,1436.5,,,
2770,----,1430.75B,1379.25A,1380.50B,1384.75,-41.75,,1426.5,,,
2780,----,1420.75B,1369.25A,1370.50B,1374.75,-41.75,,1416.5,,,
2790,----,1410.75B,1359.25A,1360.50B,1364.75,-41.75,,1406.5,,,
2800,----,1400.75B,1349.25A,1350.50B,1354.75,-41.75,,1396.5,,,
2810,----,1390.75B,1339.25A,1340.50B,1344.75,-41.75,,1386.5,,,
2820,----,1380.75B,1329.25A,1330.50B,1334.75,-41.75,,1376.5,,,
2830,----,1370.75B,1319.25A,1320.50B,1324.75,-41.75,,1366.5,,,
2840,----,1360.75B,1309.25A,1310.50B,1314.75,-41.75,,1356.5,,,
2850,----,1350.75B,1299.25A,1300.50B,1304.75,-41.75,,1346.5,,,
2860,----,1340.75B,1289.25A,1290.50B,1294.75,-41.75,,1336.5,,,
2870,----,1330.75B,1279.25A,1280.50B,1284.75,-41.75,,1326.5,,,
2880,----,1320.75B,1269.25A,1270.50B,1274.75,-41.75,,1316.5,,,
2890,----,1310.75B,1259.25A,1260.50B,1264.75,-41.75,,1306.5,,,
2900,----,1300.75B,1249.25A,1250.50B,1254.75,-41.75,,1296.5,,,
2910,----,1290.75B,1239.25A,1240.50B,1244.75,-41.75,,1286.5,,,
2920,----,1280.75B,1229.25A,1230.50B,1234.75,-41.75,,1276.5,,,
2930,----,1270.75B,1219.25A,1220.50B,1224.75,-41.75,,1266.5,,,
2940,----,1260.75B,1209.25A,1210.50B,1214.75,-41.75,,1256.5,,,
2950,----,1250.75B,1199.25A,1200.50B,1204.75,-41.75,,1246.5,,,
2960,----,1240.75B,1189.25A,1190.50B,1194.75,-41.75,,1236.5,,,
2970,----,1230.75B,1179.25A,1180.50B,1184.75,-41.75,,1226.5,,,
2980,----,1220.75B,1169.25A,1170.50B,1174.75,-41.75,,1216.5,,,
2990,----,1210.75B,1159.25A,1160.50B,1164.75,-41.75,,1206.5,,,
3000,----,1200.75B,1149.25A,1150.50B,1154.75,-41.75,,1196.5,,,
3010,----,1191.00B,1139.25A,1140.50B,1144.75,-41.75,,1186.5,,,
3020,----,1181.00B,1129.25A,1130.50B,1134.75,-41.75,,1176.5,,,
3030,----,1171.00B,1119.25A,1120.50B,1124.75,-41.75,,1166.5,,,
3040,----,1161.00B,1109.25A,1110.50B,1114.75,-41.75,,1156.5,,,
3050,----,1151.00B,1099.25A,1100.50B,1104.75,-41.75,,1146.5,,,
3060,----,1141.00B,1089.25A,1090.50B,1094.75,-41.75,,1136.5,,,
3070,----,1131.00B,1079.25A,1080.50B,1084.75,-42,,1126.75,,,
3080,----,1121.00B,1069.25A,1070.50B,1074.75,-42,,1116.75,,,
3090,----,1111.00B,1059.50A,1060.50B,1064.75,-42,,1106.75,,,
3100,----,1101.00B,1049.50A,1050.50B,1055,-41.75,,1096.75,,,
3110,----,1091.00B,1039.50A,1040.50B,1045,-41.75,,1086.75,,,
3120,----,1081.00B,1029.50A,1030.50B,1035,-41.75,,1076.75,,,
3130,----,1071.00B,1019.50A,1020.50B,1025,-41.75,,1066.75,,,
3140,----,1061.00B,1009.50A,1010.75B,1015,-41.75,,1056.75,,,
3150,----,1051.00B,999.50A,1000.75B,1005,-41.75,,1046.75,,,
3160,----,1041.00B,989.50A,990.75B,995,-41.75,,1036.75,,,
3170,----,1031.00B,979.50A,980.75B,985,-41.75,,1026.75,,,
3180,----,1021.00B,969.50A,970.75B,975,-41.75,,1016.75,,,
3190,----,1011.00B,959.50A,960.75B,965,-41.75,,1006.75,,,
3200,----,1001.00B,949.50A,950.75B,955,-41.75,,996.75,,,
3210,----,991.25B,939.50A,940.75B,945,-41.75,,986.75,,,
3220,----,981.25B,929.50A,930.75B,935,-41.75,,976.75,,,
3230,----,971.25B,919.50A,920.75B,925,-41.75,,966.75,,,
3240,----,961.25B,909.50A,910.75B,915,-41.75,,956.75,,,
3250,----,951.25B,899.50A,900.75B,905,-41.75,,946.75,,,
3260,----,941.25B,889.50A,890.75B,895,-42,,937,,,
3270,----,931.25B,879.50A,880.75B,885,-42,,927,,,
3280,----,921.25B,869.50A,870.75B,875.25,-41.75,,917,,,
3290,----,911.25B,859.75A,860.75B,865.25,-41.75,,907,,,
3300,----,901.25B,849.75A,850.75B,855.25,-41.75,,897,,,
3310,----,891.25B,839.75A,841.00B,845.25,-41.75,,887,,,
3320,----,881.25B,829.75A,831.00B,835.25,-41.75,,877,,,
3330,----,871.50B,819.75A,821.00B,825.25,-41.75,,867,,,
3340,----,861.50B,809.75A,811.00B,815.25,-41.75,,857,,,
3350,----,851.50B,799.75A,801.00B,805.25,-41.75,,847,,,
3360,----,841.50B,789.75A,791.00B,795.25,-41.75,,837,,,
3370,----,831.50B,779.75A,781.00B,785.25,-41.75,,827,,,
3380,----,821.50B,769.75A,771.00B,775.25,-41.75,,817,,,
3390,----,811.50B,759.75A,761.00B,765.5,-41.75,,807.25,,,
3400,----,801.50B,750.00A,751.00B,755.5,-41.75,,797.25,,,
3410,----,791.75B,740.00A,741.25B,745.5,-41.75,,787.25,,,
3420,----,781.75B,730.00A,731.25B,735.5,-41.75,,777.25,,,
3430,----,771.75B,720.00A,721.25B,725.5,-41.75,,767.25,,,
3440,----,761.75B,710.00A,711.25B,715.5,-41.75,,757.25,,,
3450,----,751.75B,700.00A,701.25B,705.5,-41.75,,747.25,,,
3460,----,741.75B,690.00A,691.25B,695.5,-42,,737.5,,,
3470,----,732.00B,680.00A,681.25B,685.5,-42,,727.5,,,
3480,----,722.00B,670.25A,671.50B,675.75,-41.75,,717.5,,,
3490,----,712.00B,660.25A,661.50B,665.75,-41.75,,707.5,,,
3500,----,702.00B,650.25A,651.50B,655.75,-41.75,,697.5,,,
3510,----,692.00B,640.25A,641.50B,645.75,-41.75,,687.5,,,
3520,----,682.25B,630.25A,631.50B,635.75,-41.75,,677.5,,,
3530,----,672.25B,620.50A,621.50B,625.75,-42,,667.75,,,
3540,----,662.25B,610.50A,611.75B,615.75,-42,,657.75,,,
3550,----,652.25B,600.50A,601.75B,606,-41.75,,647.75,,,
3560,----,642.50B,590.50A,591.75B,596,-41.75,,637.75,,,
3570,----,632.50B,580.50A,581.75B,586,-41.75,,627.75,,,
3580,----,622.50B,570.75A,572.00B,576,-42,,618,,,
3590,----,612.50B,560.75A,562.00B,566.25,-41.75,,608,,,
3600,----,602.75B,550.75A,552.00B,556.25,-41.75,,598,,,
3610,----,592.75B,541.00A,542.25B,546.25,-41.75,,588,,,
3620,----,582.75B,531.00A,532.25B,536.5,-41.75,,578.25,,,
3630,----,573.00B,521.00A,522.25B,526.5,-41.75,,568.25,,,
3640,----,563.00B,511.25A,512.50B,516.5,-41.75,,558.25,,,
3650,----,553.25B,501.25A,502.50B,506.75,-41.75,,548.5,,,
3660,----,543.25B,491.50A,492.75B,496.75,-41.75,,538.5,,,
3670,----,533.50B,481.50A,482.75B,486.75,-42,,528.75,,,
3680,----,523.50B,471.50A,473.00B,477,-41.75,,518.75,,,
3690,----,513.75B,461.75A,463.00B,467,-42,,509,,,
3700,----,503.75B,452.00A,453.25B,457.25,-41.75,,499,,,
3710,----,494.00B,442.00A,443.25B,447.25,-42,,489.25,,,
3720,----,484.00B,432.25A,433.50B,437.5,-41.75,,479.25,,,
3730,----,474.25B,422.50A,423.75B,427.75,-41.75,,469.5,,,
3740,----,464.50B,412.50A,414.00B,417.75,-41.75,,459.5,,,
3750,----,454.75B,402.75A,404.00B,408,-41.75,,449.75,,,
3760,----,444.75B,393.00A,394.25B,398.25,-41.75,,440,,,
3770,----,451.50B,383.25A,384.50B,388.5,-41.75,,430.25,,,
3780,----,442.00B,373.50A,375.00B,378.75,-41.75,,420.5,,,
3790,----,432.00B,363.75A,365.25B,369,-41.75,,410.75,,,
3800,----,422.25B,354.00A,355.50B,359.25,-41.75,,401,,,
3810,----,412.50B,344.50A,345.75B,349.75,-41.5,,391.25,,,
3820,----,403.00B,334.75A,336.25B,340,-41.5,,381.5,,,
3830,----,393.00B,325.25A,326.50B,330.5,-41.5,,372,,,
3840,----,383.50B,315.50A,317.00B,321,-41.25,,362.25,,,
3850,----,373.75B,306.00A,307.50B,311.25,-41.5,,352.75,,,
3860,----,364.25B,296.50A,298.25B,301.75,-41.5,,343.25,,,
3870,----,354.75B,287.25A,288.75B,292.5,-41.25,,333.75,,,
3880,----,345.75B,277.75A,279.25B,283,-41.25,,324.25,,,
3890,----,336.25B,268.50A,270.00B,273.5,-41.25,,314.75,,,
3900,----,326.50B,259.25A,261.00B,264.25,-41,,305.25,,,
3910,----,317.25B,250.00A,251.50B,255,-41,,296,,,
3920,----,307.75B,240.75A,242.50B,245.75,-41,,286.75,,,
3930,----,298.25B,231.75A,233.25B,236.75,-40.75,,277.5,,,
3940,----,289.00B,222.75A,224.50B,227.75,-40.5,,268.25,,,
3950,----,279.75B,213.75A,215.50B,218.75,-40.5,,259.25,,,15
3960,----,270.50B,205.00A,206.75B,210,-40.25,,250.25,,,22
3970,----,261.25B,196.25A,198.25B,201.25,-40,,241.25,,,32
3980,----,252.25B,187.75A,189.50B,192.5,-39.75,,232.25,,,14
3990,----,243.25B,179.25A,181.00B,184,-39.5,,223.5,,,9
4000,----,234.25B,170.75A,172.75B,175.5,-39.25,,214.75,,,4
4010,----,225.00B,162.75A,164.25B,167.25,-39,,206.25,,,4
4020,----,216.75B,154.50A,156.25B,159,-38.75,,197.75,,,
4030,----,207.50B,146.50A,148.25B,150.75,-38.5,,189.25,,,
4040,----,199.25B,138.75A,140.25B,142.75,-38.25,,181,,,
4050,----,190.75B,131.00A,132.75B,135,-37.75,,172.75,,,
4060,----,182.50B,123.50A,125.00B,127.25,-37.25,,164.5,,,2
4070,----,174.25B,116.25A,117.75B,119.75,-36.75,,156.5,,,
4080,----,166.00B,109.25A,110.50B,112.5,-36.25,,148.75,,,
4090,----,158.00B,102.00A,103.50B,105.25,-35.75,,141,1,,11
4100,----,149.50B,95.25A,96.75B,98.25,-35,,133.25,,,6
4110,----,142.00B,87.00A,90.00B,91.5,-34.5,1,126,,,7
4120,----,134.50B,81.75A,83.50B,85,-33.75,,118.75,,,12
4130,----,127.25B,75.25A,77.25B,78.75,-32.75,,111.5,,,
4140,----,119.50B,69.50A,71.25B,72.5,-32,,104.5,,,
4150,----,112.75B,62.25A,65.50B,66.5,-31.25,,97.75,1,,3
4160,----,105.75B,56.75A,60.00B,61,-30.25,,91.25,,,
4170,----,99.00B,51.75A,54.50B,55.5,-29.5,,85,1,,1
4180,----,92.25B,47.00A,49.50B,50.25,-28.5,,78.75,,,
4190,----,85.75B,42.25A,44.75B,45.25,-27.5,1,72.75,,,7
4200,42.25,79.50B,38.00A,40.00B,40.75,-26.25,10,67,,,7
4210,38,73.50B,34.00A,35.75B,36.5,-25.25,10,61.75,1,,10
4220,----,67.75B,30.25A,31.75B,32.25,-24.25,,56.5,,,
4230,----,62.00B,26.75A,28.00B,28.5,-23,,51.5,1,,1
4240,----,56.75B,23.50A,24.50B,25,-21.75,,46.75,,,2
4250,49,51.50B,20.75A,21.25B,22,-20.25,60,42.25,,,6
4260,20.5,47.00B,18.00A,18.50B,19,-19,12,38,,,1
4270,----,42.25B,15.75A,16.00B,16.5,-17.5,,34,,,1
4280,----,37.75B,13.50A,13.50A,14.25,-16.25,,30.5,,,
4290,----,33.50B,11.50A,11.50A,12.25,-14.75,,27,,,33
4300,----,29.75B,10.00A,10.00A,10.5,-13.5,,24,,,4
4310,----,26.25B,8.50A,8.50A,8.75,-12.5,,21.25,,,5
4320,----,22.75B,7.25A,7.25A,7.5,-11,,18.5,,,14
4330,----,19.75B,6.00A,6.00A,6.25,-10,,16.25,,,
4340,----,17.00B,5.25A,5.25A,5.25,-9,,14.25,,,
4350,----,14.25B,4.30A,4.30A,4.55,-7.7,,12.25,1,,1
4360,----,12.00B,3.65A,3.65A,3.85,-6.9,,10.75,13,,17
4370,----,10.00B,3.10A,3.10A,3.25,-6,,9.25,,,
4380,----,8.50B,2.65A,2.65A,2.8,-5.2,,8,30,,30
4390,----,7.25B,2.25A,2.25A,2.4,-4.6,,7,,,5
4400,----,----,2.00A,2.00A,2.05,-3.95,,6,,,
4410,----,----,1.75A,1.75A,1.8,-3.45,,5.25,,,3
4420,----,----,1.55A,1.55A,1.55,-2.95,,4.5,,,
4430,1.55,1.55,1.40A,1.40A,1.4,-2.5,85,3.9,,,
4440,----,----,1.25A,1.25A,1.25,-2.15,,3.4,,,5
4450,----,----,1.15A,1.15A,1.1,-1.85,,2.95,,,
4460,----,----,1.05A,1.05A,1,-1.55,,2.55,,,
4470,----,----,.95A,.95A,0.9,-1.3,,2.2,,,
4480,----,----,.95A,.95A,0.8,-1.15,,1.95,,,
4490,----,----,.90A,.90A,0.7,-1,,1.7,,,3
4500,----,----,.85A,.85A,0.65,-0.85,,1.5,,,1
4510,----,----,.80A,.80A,0.6,-0.7,,1.3,,,3
4520,----,----,.75A,.75A,0.55,-0.6,,1.15,,,1
4530,----,----,.75A,.75A,0.5,-0.5,,1,,,3
4540,----,----,.70A,.70A,0.45,-0.4,,0.85,,,3
4550,----,----,.65A,.65A,0.4,-0.35,,0.75,,,5
4560,----,----,----,----,0.35,-0.3,,0.65,,,3
4570,----,----,----,----,0.35,-0.2,,0.55,,,
4580,----,----,----,----,0.3,-0.2,,0.5,,,3
4590,----,----,----,----,0.25,-0.2,,0.45,,,1
4600,----,----,----,----,0.25,-0.15,,0.4,,,8
4610,----,----,----,----,0.2,-0.15,,0.35,,,
4620,----,----,----,----,0.2,-0.1,,0.3,,,3
4630,----,----,----,----,0.15,-0.1,,0.25,,,
4640,----,----,----,----,0.15,-0.05,,0.2,,,
4650,----,----,----,----,0.15,-0.05,,0.2,,,
4660,----,----,----,----,0.1,-0.05,,0.15,,,
4670,----,----,----,----,0.1,-0.05,,0.15,,,3
4680,----,----,----,----,0.1,-0.05,,0.15,,,
4690,----,----,----,----,0.1,UNCH,,0.1,,,
4700,----,----,----,----,0.1,UNCH,,0.1,,,
4710,----,----,----,----,0.05,-0.05,,0.1,,,2
4720,----,----,----,----,0.05,-0.05,,0.1,,,
4730,----,----,----,----,CAB,-0.05,,0.05,,,
4740,----,----,----,----,CAB,-0.05,,0.05,,,
4750,----,----,----,----,CAB,-0.05,,0.05,,,
4760,----,----,----,----,CAB,UNCH,,CAB,,,
4770,----,----,----,----,CAB,UNCH,,CAB,,,
4780,----,----,----,----,CAB,UNCH,,CAB,,,
4790,----,----,----,----,CAB,UNCH,,CAB,,,
4800,----,----,----,----,CAB,UNCH,,CAB,,,1
4810,----,----,----,----,CAB,UNCH,,CAB,,,
4820,----,----,----,----,CAB,UNCH,,CAB,,,
4830,----,----,----,----,CAB,UNCH,,CAB,,,
4840,----,----,----,----,CAB,UNCH,,CAB,,,
4850,----,----,----,----,CAB,UNCH,,CAB,,,
4860,----,----,----,----,CAB,UNCH,,CAB,,,
4870,----,----,----,----,CAB,UNCH,,CAB,,,
4880,----,----,----,----,CAB,UNCH,,CAB,,,
4890,----,----,----,----,CAB,UNCH,,CAB,,,
4900,----,----,----,----,CAB,UNCH,,CAB,,,3
4910,----,----,----,----,CAB,UNCH,,CAB,,,
4920,----,----,----,----,CAB,UNCH,,CAB,,,
4930,----,----,----,----,CAB,UNCH,,CAB,,,
4940,----,----,----,----,CAB,UNCH,,CAB,,,
4950,----,----,----,----,CAB,UNCH,,CAB,,,3
4960,----,----,----,----,CAB,UNCH,,CAB,,,
4970,----,----,----,----,CAB,UNCH,,CAB,,,
4980,----,----,----,----,CAB,UNCH,,CAB,,,
4990,----,----,----,----,CAB,UNCH,,CAB,,,
5000,----,----,----,----,CAB,UNCH,,CAB,,,
5010,----,----,----,----,CAB,UNCH,,CAB,,,
5020,----,----,----,----,CAB,UNCH,,CAB,,,
5030,----,----,----,----,CAB,UNCH,,CAB,,,
5040,----,----,----,----,CAB,UNCH,,CAB,,,
5050,----,----,----,----,CAB,UNCH,,CAB,,,
5060,----,----,----,----,CAB,UNCH,,CAB,,,
5070,----,----,----,----,CAB,UNCH,,CAB,,,
5080,----,----,----,----,CAB,UNCH,,CAB,,,
5090,----,----,----,----,CAB,UNCH,,CAB,,,
5100,----,----,----,----,CAB,UNCH,,CAB,,,10
5110,----,----,----,----,CAB,UNCH,,CAB,,,
5120,----,----,----,----,CAB,UNCH,,CAB,,,
5130,----,----,----,----,CAB,UNCH,,CAB,,,
5140,----,----,----,----,CAB,UNCH,,CAB,,,
5150,----,----,----,----,CAB,UNCH,,CAB,,,10
5160,----,----,----,----,CAB,UNCH,,CAB,,,
5170,----,----,----,----,CAB,UNCH,,CAB,,,
5180,----,----,----,----,CAB,UNCH,,CAB,,,
5190,----,----,----,----,CAB,UNCH,,CAB,,,
5200,----,----,----,----,CAB,UNCH,,CAB,,,
5210,----,----,----,----,CAB,UNCH,,CAB,,,
5220,----,----,----,----,CAB,UNCH,,CAB,,,
5230,----,----,----,----,CAB,UNCH,,CAB,,,
5240,----,----,----,----,CAB,UNCH,,CAB,,,
5250,----,----,----,----,CAB,UNCH,,CAB,,,
5260,----,----,----,----,CAB,UNCH,,CAB,,,
5270,----,----,----,----,CAB,UNCH,,CAB,,,
5280,----,----,----,----,CAB,UNCH,,CAB,,,
5290,----,----,----,----,CAB,UNCH,,CAB,,,
5300,----,----,----,----,CAB,UNCH,,CAB,,,
5310,----,----,----,----,CAB,UNCH,,CAB,,,
5320,----,----,----,----,CAB,UNCH,,CAB,,,
5330,----,----,----,----,CAB,UNCH,,CAB,,,
5340,----,----,----,----,CAB,UNCH,,CAB,,,
5350,----,----,----,----,CAB,UNCH,,CAB,,,
5360,----,----,----,----,CAB,UNCH,,CAB,,,
5370,----,----,----,----,CAB,UNCH,,CAB,,,
5380,----,----,----,----,CAB,UNCH,,CAB,,,
5390,----,----,----,----,CAB,UNCH,,CAB,,,
5400,----,----,----,----,CAB,UNCH,,CAB,,,
5410,----,----,----,----,CAB,UNCH,,CAB,,,
5420,----,----,----,----,CAB,UNCH,,CAB,,,
5430,----,----,----,----,CAB,UNCH,,CAB,,,
5440,----,----,----,----,CAB,UNCH,,CAB,,,
5450,----,----,----,----,CAB,UNCH,,CAB,,,
5460,----,----,----,----,CAB,UNCH,,CAB,,,
5470,----,----,----,----,CAB,UNCH,,CAB,,,
5480,----,----,----,----,CAB,UNCH,,CAB,,,
5490,----,----,----,----,CAB,UNCH,,CAB,,,
5500,----,----,----,----,CAB,UNCH,,CAB,,,
5510,----,----,----,----,CAB,UNCH,,CAB,,,
5520,----,----,----,----,CAB,UNCH,,CAB,,,
5530,----,----,----,----,CAB,UNCH,,CAB,,,
5540,----,----,----,----,CAB,UNCH,,CAB,,,
5550,----,----,----,----,CAB,UNCH,,CAB,,,
5560,----,----,----,----,CAB,UNCH,,CAB,,,
5570,----,----,----,----,CAB,UNCH,,CAB,,,
5580,----,----,----,----,CAB,UNCH,,CAB,,,
5590,----,----,----,----,CAB,UNCH,,CAB,,,
5600,----,----,----,----,CAB,UNCH,,CAB,,,
5610,----,----,----,----,CAB,UNCH,,CAB,,,
5620,----,----,----,----,CAB,UNCH,,CAB,,,
5630,----,----,----,----,CAB,UNCH,,CAB,,,
5640,----,----,----,----,CAB,UNCH,,CAB,,,
5650,----,----,----,----,CAB,UNCH,,CAB,,,
5660,----,----,----,----,CAB,UNCH,,CAB,,,
5670,----,----,----,----,CAB,UNCH,,CAB,,,
5680,----,----,----,----,CAB,UNCH,,CAB,,,
5690,----,----,----,----,CAB,UNCH,,CAB,,,
5700,----,----,----,----,CAB,UNCH,,CAB,,,
5710,----,----,----,----,CAB,UNCH,,CAB,,,
5720,----,----,----,----,CAB,UNCH,,CAB,,,
5730,----,----,----,----,CAB,UNCH,,CAB,,,
5740,----,----,----,----,CAB,UNCH,,CAB,,,
5750,----,----,----,----,CAB,UNCH,,CAB,,,
5760,----,----,----,----,CAB,UNCH,,CAB,,,
5770,----,----,----,----,CAB,UNCH,,CAB,,,
5780,----,----,----,----,CAB,UNCH,,CAB,,,
5790,----,----,----,----,CAB,UNCH,,CAB,,,
5800,----,----,----,----,CAB,UNCH,,CAB,,,
5810,----,----,----,----,CAB,UNCH,,CAB,,,
5820,----,----,----,----,CAB,UNCH,,CAB,,,
5830,----,----,----,----,CAB,UNCH,,CAB,,,
5840,----,----,----,----,CAB,UNCH,,CAB,,,
5850,----,----,----,----,CAB,UNCH,,CAB,,,
5860,----,----,----,----,CAB,UNCH,,CAB,,,
5870,----,----,----,----,CAB,UNCH,,CAB,,,
5880,----,----,----,----,CAB,UNCH,,CAB,,,
5890,----,----,----,----,CAB,UNCH,,CAB,,,
5900,----,----,----,----,CAB,UNCH,,CAB,,,
5910,----,----,----,----,CAB,UNCH,,CAB,,,
5920,----,----,----,----,CAB,UNCH,,CAB,,,
5930,----,----,----,----,CAB,UNCH,,CAB,,,
5940,----,----,----,----,CAB,UNCH,,CAB,,,
5950,----,----,----,----,CAB,UNCH,,CAB,,,
5960,----,----,----,----,CAB,UNCH,,CAB,,,
5970,----,----,----,----,CAB,UNCH,,CAB,,,
5980,----,----,----,----,CAB,UNCH,,CAB,,,
5990,----,----,----,----,CAB,UNCH,,CAB,,,
6000,----,----,----,----,CAB,UNCH,,CAB,,,
6010,----,----,----,----,CAB,UNCH,,CAB,,,
6020,----,----,----,----,CAB,UNCH,,CAB,,,
6030,----,----,----,----,CAB,UNCH,,CAB,,,
6040,----,----,----,----,CAB,UNCH,,CAB,,,
6050,----,----,----,----,CAB,UNCH,,CAB,,,
6060,----,----,----,----,CAB,UNCH,,CAB,,,
QNE MAR,16 NASDA,Q MONTHLY E,#NAME?,NS CALL,,,,,,,
2570,----,1622.00B,1570.25A,1571.50B,1575.75,-41.25,,1617,,,
2580,----,1612.00B,1560.25A,1561.50B,1565.75,-41.25,,1607,,,
2590,----,1602.00B,1550.25A,1551.50B,1555.75,-41.25,,1597,,,
2600,----,1592.25B,1540.50A,1541.50B,1545.75,-41.25,,1587,,,
2610,----,1582.25B,1530.50A,1531.75B,1535.75,-41.5,,1577.25,,,
2620,----,1572.25B,1520.50A,1521.75B,1525.75,-41.5,,1567.25,,,
2630,----,1562.25B,1510.50A,1511.75B,1515.75,-41.5,,1557.25,,,
2640,----,1552.25B,1500.50A,1501.75B,1506,-41.25,,1547.25,,,
2650,----,1542.25B,1490.50A,1491.75B,1496,-41.25,,1537.25,,,
2660,----,1532.25B,1480.50A,1481.75B,1486,-41.25,,1527.25,,,
2670,----,1522.50B,1470.75A,1471.75B,1476,-41.5,,1517.5,,,
2680,----,1512.50B,1460.75A,1462.00B,1466,-41.5,,1507.5,,,
2690,----,1502.50B,1450.75A,1452.00B,1456,-41.5,,1497.5,,,
2700,----,1492.50B,1440.75A,1442.00B,1446.25,-41.25,,1487.5,,,
2710,----,1482.50B,1430.75A,1432.00B,1436.25,-41.25,,1477.5,,,
2720,----,1472.50B,1420.75A,1422.00B,1426.25,-41.25,,1467.5,,,
2730,----,1462.75B,1411.00A,1412.00B,1416.25,-41.5,,1457.75,,,
2740,----,1452.75B,1401.00A,1402.25B,1406.25,-41.5,,1447.75,,,
2750,----,1442.75B,1391.00A,1392.25B,1396.25,-41.5,,1437.75,,,
2760,----,1432.75B,1381.00A,1382.25B,1386.5,-41.25,,1427.75,,,
2770,----,1422.75B,1371.00A,1372.25B,1376.5,-41.25,,1417.75,,,
2780,----,1413.00B,1361.25A,1362.25B,1366.5,-41.5,,1408,,,
2790,----,1403.00B,1351.25A,1352.50B,1356.5,-41.5,,1398,,,
2800,----,1393.00B,1341.25A,1342.50B,1346.5,-41.5,,1388,,,
2810,----,1383.00B,1331.25A,1332.50B,1336.75,-41.25,,1378,,,
2820,----,1373.25B,1321.25A,1322.50B,1326.75,-41.25,,1368,,,
2830,----,1363.25B,1311.50A,1312.75B,1316.75,-41.5,,1358.25,,,
2840,----,1353.25B,1301.50A,1302.75B,1306.75,-41.5,,1348.25,,,
2850,----,1343.25B,1291.50A,1292.75B,1296.75,-41.5,,1338.25,,,
2860,----,1333.50B,1281.50A,1282.75B,1287,-41.5,,1328.5,,,
2870,----,1323.50B,1271.75A,1273.00B,1277,-41.5,,1318.5,,,
